orb_period,xit_duration,xit_depth,body_r_per_stellar_r_rat,body_r,orb_semimajor,inc,body_temp,body_insolation_flux,stellar_temp,stellar_r,stellar_m,kepler_status
0.604755462,1.3741,0.016228,1.29,0.013,89.35,1598,1534.24,3.4653,4842,0.726,0.815,2
0.576078683,1.63253,0.260658,23.23,0.0131,55.71,1982,3647.63,1.976,5693,0.816,0.911,1
0.687895191,2.4233,0.019013,1.35,0.0131,89.54,1391,888.72,2.2898,4478,0.651,0.637,2
0.545544979,1.954,0.009218,0.93,0.0131,71.33,2240,5913.74,1.888,6050,0.92,0.997,2
0.546248198,2.1081,0.496587,54.23,0.0131,68.45,2227,5820.72,2.58,5780,1,1,2
0.566796615,1.999,0.006358,0.59,0.0131,83.68,2077,4426.68,2.205,5858,0.849,0.94,2
0.530972263,3.653,0.086135,9.32,0.0131,8.18,2373,7495,1.09,6185,0.991,1.06,2
0.566799725,4.097,0.006244,0.77,0.0131,74.25,2289,6460.25,1.217,5576,1.132,0.928,2
0.555973803,1.271,0.008239,1.9,0.0131,78.77,3049,20544.64,2.89,5445,2.117,0.977,2
0.577844035,4.291,0.212412,18.93,0.0131,11.94,1980,3647.63,1.221,5693,0.816,0.911,2
0.566786121,3.404,0.008583,0.79,0.0131,62.93,1984,3678.65,1.2977,5603,0.846,0.941,2
0.530967162,3.3659,0.182103,23.72,0.0132,12.61,2704,12644.75,1.195,6449,1.193,1.069,2
0.50727675,2.32,0.013588,1.7,0.0132,75.24,2449,8524.12,1.685,5970,1.143,1.195,2
0.566792595,2.637,0.004114,0.5,0.0132,87.78,2548,10020.28,1.752,6277,1.121,0.961,2
0.643468999,1.1108,0.009608,0.88,0.0132,86.5,2001,3772.66,4.355,5670,0.843,0.732,2
0.56679293,3.814,0.009188,0.86,0.0132,82.06,2064,4264.42,1.3,5812,0.853,0.947,2
0.585940879,4.6979,0.305249,26.57,0.0132,18.42,1873,2897.54,1.322,5459,0.797,0.893,2
0.566811926,4.181,0.008837,0.91,0.0132,53.06,2293,6584.06,1.133,6165,0.942,0.965,2
0.760935268,2.77023,0.639362,35.68,0.0132,81.14,1285,640.66,3.4246,4675,0.511,0.523,2
0.566807422,5.148,0.006672,1.13,0.0132,12.78,2680,12227.82,1.01,5616,1.547,0.958,2
0.530300102,2.8502,0.315234,35.73,0.0133,26.93,2410,7972.18,1.4,6184,1.038,1.1,2
0.526615152,1.0582,0.007299,1.46,0.0133,89.59,2959,18152.32,3.87,5718,1.832,1.131,2
0.626281766,1.1812,0.019583,1.76,0.0133,81.02,1711,2011.27,3.547,4922,0.823,0.79,0
0.592562969,3.0869,0.295765,25.97,0.0133,22.94,1967,3520.7,1.359,5728,0.804,0.896,2
0.696125302,2.0054,0.386422,28.44,0.0133,55.84,1645,1739.43,2.17,5245,0.674,0.652,2
0.536551592,4.89,0.114871,12.88,0.0133,9.47,2377,7584.36,1.117,6140,1.027,1.094,2
0.56678012,3.257,0.004905,0.49,0.0133,68.98,2073,4352.1,1.373,5674,0.911,0.97,2
